z,y,x,ax,ay,az,gx,gy,gz,b,c
252,10,-38,-0.23,7.30,5.59,-1783.67,-139.68,2965.62,2.57,258
250,12,-37,2.88,7.84,5.87,-2926.22,-977.79,3710.60,2.57,258
250,12,-35,-1.42,4.33,7.60,-3062.32,-268.62,-3227.08,2.57,258
255,10,-33,-0.69,4.22,4.49,-3767.91,-626.79,-3431.23,2.57,258
253,12,-30,3.66,4.29,5.16,-4777.94,-1296.56,4247.85,2.56,258
254,12,-28,0.21,1.64,4.94,-3864.61,46.56,-2571.63,2.56,258
256,13,-25,0.34,3.01,6.29,-4097.42,-612.46,2603.87,2.57,258
254,14,-22,3.01,1.42,6.40,-4029.37,-676.93,3782.23,2.56,258
248,15,-7,3.57,0.44,10.80,-3846.70,641.12,891.83,2.56,259
249,14,-5,2.32,0.41,10.48,-3735.67,684.10,-558.74,2.56,259
250,12,8,2.58,-1.04,9.67,-2328.08,526.50,870.34,2.56,259
250,12,9,1.81,-2.04,9.35,-1840.97,343.84,-25.07,2.56,259
250,12,10,2.31,-1.99,9.99,-1454.15,-103.87,1027.94,2.56,259
250,12,11,2.04,-0.67,9.70,-1124.64,-225.64,39.40,2.56,259
250,12,12,1.39,-2.44,9.37,-977.79,-630.37,182.66,2.57,259
249,13,12,2.76,-1.87,9.05,-734.24,-1038.68,1421.92,2.57,259
249,13,13,3.11,-2.46,9.66,-433.38,-1010.03,175.50,2.56,259
249,14,13,3.32,-2.09,9.27,-311.60,-1224.93,1518.62,2.56,259
248,14,14,3.88,-1.79,9.59,-132.52,-1074.50,723.50,2.56,259
248,15,14,3.32,-1.54,9.31,-118.19,-1056.59,537.25,2.56,259
249,15,14,3.46,-0.70,9.33,-189.83,-1038.68,479.94,2.56,259
248,16,14,3.66,-0.16,9.50,-422.64,-906.16,-17.91,2.56,259
249,17,15,2.73,-2.01,8.91,-605.30,-873.93,-154.01,2.56,259
248,17,15,3.18,-2.64,8.23,-533.67,-1070.92,988.54,2.56,259
248,18,16,2.96,-2.69,8.66,-261.46,-963.47,376.07,2.57,259
248,18,16,2.94,-2.38,8.78,-89.54,-1006.45,762.89,2.56,259
247,18,16,3.80,-1.52,9.19,-161.17,-977.79,1797.99,2.57,259
246,19,17,4.11,-1.54,9.11,-146.85,-526.50,569.48,2.56,259
246,19,17,3.38,-2.33,8.60,-150.43,-293.70,322.35,2.57,259
246,19,17,3.30,-2.24,8.24,-146.85,-161.17,999.28,2.56,260
246,19,17,2.93,-2.67,8.29,21.49,75.21,-89.54,2.56,260
246,19,17,3.40,-2.71,8.23,204.15,103.87,-64.47,2.57,260
246,19,17,4.33,-1.31,8.92,175.50,121.78,1088.83,2.57,260
245,18,17,3.84,-1.11,8.90,85.96,530.09,376.07,2.56,260
245,18,17,3.27,-1.98,8.60,-121.78,752.15,236.39,2.57,260
245,17,18,3.63,-2.36,8.46,-290.11,830.95,791.55,2.56,260
245,16,18,3.75,-2.34,8.78,-239.97,1088.83,-243.55,2.56,260
246,16,18,3.05,-1.97,8.54,-343.84,1396.85,-676.93,2.56,260
247,15,18,2.05,-1.91,8.15,-601.72,1472.06,-748.57,2.56,260
247,14,18,2.43,-1.72,8.12,-949.14,1300.14,-361.75,2.57,260
248,14,19,3.32,-2.56,8.26,-1246.42,1246.42,111.03,2.57,260
249,13,20,3.86,-2.84,7.92,-1386.10,1464.90,-530.09,2.56,260
250,12,20,3.77,-3.37,7.91,-1368.19,1894.70,-1880.37,2.57,260
251,11,21,2.86,-3.52,7.86,-1457.74,2088.11,-1991.40,2.56,260
253,11,21,2.04,-2.86,7.26,-1683.38,1987.82,-1110.32,2.56,260
254,10,22,1.51,-2.85,6.82,-1959.17,1797.99,-1518.62,2.56,260
256,9,24,1.38,-3.89,6.54,-2317.34,1382.52,-1661.89,2.57,260
257,9,25,1.34,-4.50,6.50,-2675.50,827.36,-1006.45,2.56,260
258,9,26,1.85,-5.57,7.11,-2893.98,404.73,-705.59,2.57,260
258,9,29,2.92,-6.54,6.99,-3237.82,-121.78,941.98,2.57,260
257,8,31,3.74,-7.34,6.87,-3252.15,-175.50,784.38,2.57,260
258,9,33,3.06,-7.73,6.61,-2958.45,107.45,-1468.48,2.57,260
259,9,34,2.08,-6.63,6.57,-3037.25,-46.56,-1346.70,2.57,260
260,10,37,1.82,-6.55,6.45,-3585.24,-522.92,-293.70,2.57,260
260,10,39,2.06,-9.68,6.48,-3878.94,-870.34,-709.17,2.56,260
260,11,41,2.13,-9.73,6.40,-3664.04,-1124.64,-1318.05,2.56,261
262,12,44,1.35,-8.83,6.81,-3628.22,-1285.82,-2220.63,2.56,261
263,14,46,2.57,-8.44,6.89,-4097.42,-1812.32,-1142.55,2.56,261
263,15,49,2.80,-8.18,6.41,-4681.23,-1830.23,-1232.09,2.56,261
265,17,52,3.28,-8.74,6.32,-4860.32,-1475.64,-3986.39,2.57,261
267,19,55,1.96,-7.15,6.19,-5562.32,-1733.52,-1837.39,2.56,261
269,21,59,3.51,-8.47,6.09,-6113.90,-1790.83,-2113.18,2.57,261
271,23,63,3.26,-9.52,5.89,-6303.73,-1561.60,-3742.84,2.56,261
274,26,68,4.18,-6.94,5.90,-6565.19,-1661.89,-2632.52,2.56,261
276,27,71,2.37,-7.03,4.97,-6905.44,-1529.37,-3492.12,2.57,261
279,30,77,2.64,-6.96,4.19,-7453.44,-1901.86,-2868.91,2.56,261
283,32,82,4.05,-7.58,3.45,-7822.35,-2181.23,-3116.05,2.56,261
286,34,89,9.31,-5.86,3.19,-7836.68,-2041.55,-3431.23,2.57,261
291,37,93,6.83,-4.54,2.59,-7725.64,-1450.57,-5967.05,2.56,261
298,41,100,8.42,-3.49,2.05,-7718.48,-1325.21,-6969.91,2.56,261
305,44,106,6.25,-5.24,0.22,-7607.45,-1432.66,-3416.91,2.56,261
310,45,112,6.49,-5.39,-1.09,-6769.34,-1013.61,-2639.68,2.57,261
314,46,116,5.97,-4.52,-0.91,-5483.52,-501.43,-1414.76,2.56,261
318,46,120,4.69,-5.39,-1.08,-4387.54,-214.90,254.30,2.56,261
